customer_id,month,plan_type,is_active,sessions,features_used
C0001,2023-01-01,Starter,True,7,3
C0001,2023-02-01,Starter,True,7,1
C0001,2023-03-01,Starter,True,5,3
C0001,2023-04-01,Starter,False,0,0
C0002,2023-01-01,Starter,True,6,4
C0002,2023-02-01,Starter,True,8,1
C0002,2023-03-01,Starter,True,6,2
C0002,2023-04-01,Starter,True,10,4
C0002,2023-05-01,Starter,True,6,2
C0002,2023-06-01,Starter,True,6,1
C0002,2023-07-01,Starter,True,5,3
C0002,2023-08-01,Starter,True,6,4
C0002,2023-09-01,Starter,True,8,2
C0002,2023-10-01,Starter,True,5,4
C0002,2023-11-01,Starter,True,10,1
C0002,2023-12-01,Starter,False,0,0
C0003,2023-01-01,Starter,True,7,1
C0003,2023-02-01,Starter,False,0,0
C0004,2023-01-01,Starter,True,6,2
C0004,2023-02-01,Starter,True,3,2
C0004,2023-03-01,Starter,True,6,4
C0004,2023-04-01,Starter,True,9,4
C0004,2023-05-01,Starter,True,9,3
C0004,2023-06-01,Starter,True,6,2
C0004,2023-07-01,Starter,True,4,2
C0004,2023-08-01,Starter,True,4,4
C0004,2023-09-01,Starter,True,9,2
C0004,2023-10-01,Starter,True,4,2
C0004,2023-11-01,Starter,True,8,3
C0004,2023-12-01,Starter,True,10,2
C0004,2024-01-01,Starter,True,3,2
C0004,2024-02-01,Starter,True,10,1
C0004,2024-03-01,Starter,True,7,4
C0004,2024-04-01,Starter,True,6,4
C0004,2024-05-01,Starter,True,3,1
C0004,2024-06-01,Starter,True,3,1
C0004,2024-07-01,Starter,True,10,1
C0004,2024-08-01,Starter,True,10,3
C0004,2024-09-01,Starter,True,3,4
C0004,2024-10-01,Starter,True,3,3
C0004,2024-11-01,Starter,True,9,2
C0004,2024-12-01,Starter,True,9,1
C0005,2023-01-01,Enterprise,True,53,6
C0005,2023-02-01,Enterprise,True,42,11
C0005,2023-03-01,Enterprise,True,54,9
C0005,2023-04-01,Enterprise,True,46,8
C0005,2023-05-01,Enterprise,True,56,12
C0005,2023-06-01,Enterprise,True,20,10
C0005,2023-07-01,Enterprise,True,33,12
C0005,2023-08-01,Enterprise,True,34,12
